schema,table_name,table_type,ordinal_position,column_name,data_type,is_nullable,column_default,comment
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,1,ID,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,2,CUSTOMER_NAME,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,3,PRACTICE_ODS_CODE,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,4,PRACTICE_NAME,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,5,EXTRACT_GROUP_NAME,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,6,DATA_SET_NAME,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,7,DATA_SET_VERSION,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,8,EXTRACT_GROUP,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,9,EXTRACT_DATE_TIME,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,10,FIRST_LOAD_FLAG,BOOLEAN,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,11,FILE_REGISTER_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,12,FILE_REGISTER_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,13,PREPROCESSOR_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,14,PREPROCESSOR_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,15,FILE_COMBINER_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,16,FILE_COMBINER_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,17,VERSIONER_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,18,VERSIONER_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,19,MASKER_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,20,MASKER_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,21,COMMON_MODEL_STATUS,TEXT,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,22,COMMON_MODEL_END_DATE_TIME,TIMESTAMP_NTZ,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,23,TRANSMIT_FLAG,BOOLEAN,True,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,24,LDS_IS_DELETED,BOOLEAN,False,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,25,LDS_START_DATE_TIME,TIMESTAMP_NTZ,False,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,26,LAKEHOUSE_DATE_PROCESSED,DATE,False,,
MONITORING,BATCH_PROGRESS_SUMMARY,BASE TABLE,27,HIGH_WATERMARK_DATE_TIME,TIMESTAMP_NTZ,False,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,1,ID,TEXT,False,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,2,BATCH_PROGRESS_SUMMARY,TIMESTAMP_NTZ,True,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,3,COMMON_MODEL_LAST_TRANSMIT,TIMESTAMP_NTZ,True,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,4,LDS_IS_DELETED,BOOLEAN,False,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,5,LDS_START_DATE_TIME,TIMESTAMP_NTZ,False,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,6,LAKEHOUSE_DATE_PROCESSED,DATE,False,,
MONITORING,LDS_RELEASE_DETAILS,BASE TABLE,7,HIGH_WATERMARK_DATE_TIME,TIMESTAMP_NTZ,False,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,1,LDS_RECORD_ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,2,ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,3,PATIENT_ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,4,PRACTITIONER_ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,5,ENCOUNTER_ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,6,CLINICAL_STATUS,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,7,VERIFICATION_STATUS,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,8,CATEGORY,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,9,CLINICAL_EFFECTIVE_DATE,TIMESTAMP_NTZ,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,10,DATE_PRECISION_CONCEPT_ID,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,11,IS_REVIEW,BOOLEAN,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,12,MEDICATION_NAME,TEXT,True,,
OLIDS_COMMON,ALLERGY_INTOLERANCE,BASE TABLE,13,MULTI_LEX_ACTION,TEXT,True,,
